Timestamp,brand,price,aesthetics,certs,most_important,least_important,will_pay,region,gender,age,frequency
5/23/2017 15:11,Extremely important,Very important,"Yes, moderately important",Fair trade and direct trade have equal importance to me,Price,Price,$12 - $15,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,2-3 times a month
5/23/2017 15:26,Slightly important,Moderately important,"Yes, slightly important",Fair trade and direct trade have equal importance to me,Trade specifications (fair trade / direct trade),Brand name,$12 - $15,No,Male,25 - 34,Weekly
5/23/2017 15:32,Moderately important,Moderately important,"Yes, moderately important",Neither factor contributes to my decision,Price,Trade specifications (fair trade / direct trade),$15 - $18,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Male,35 - 44,Weekly
5/23/2017 15:33,Very important,Very important,"No, not at all important",I prefer to purchase beans that are direct trade,Aesthetics,Brand name,$18 - $22,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Male,65 or older,Weekly
5/23/2017 15:52,Not at all important,Slightly important,"Yes, moderately important",Fair trade and direct trade have equal importance to me,Trade specifications (fair trade / direct trade),Price,$15 - $18,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Female,25 - 34,2-3 times a month
5/23/2017 16:04,Very important,Very important,"Yes, very important",I prefer to purchase beans that are direct trade,Location of shop,Trade specifications (fair trade / direct trade),$12 - $15,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,2-3 times a month
5/23/2017 16:25,Moderately important,Very important,"Yes, moderately important",Fair trade and direct trade have equal importance to me,Price,Brand name,$18 - $22,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Female,25 - 34,Monthly
5/23/2017 16:37,Slightly important,Very important,"No, not at all important",Neither factor contributes to my decision,Brand name,Trade specifications (fair trade / direct trade),< $12,No,Female,65 or older,Less than once a month
5/23/2017 16:55,Moderately important,Moderately important,"Yes, slightly important",Fair trade and direct trade have equal importance to me,Brand name,Location of shop,$12 - $15,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Male,25 - 34,Less than once a month
5/23/2017 17:12,Very important,Very important,"Yes, slightly important",Fair trade and direct trade have equal importance to me,Brand name,Location of shop,< $12,I prefer blends,Female,55 - 64,Less than once a month
5/23/2017 17:35,Slightly important,Moderately important,"Yes, moderately important",Fair trade and direct trade have equal importance to me,Aesthetics,Brand name,$18 - $22,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Female,18 - 24,Monthly
5/23/2017 17:46,Very important,Very important,"Yes, moderately important",I prefer to purchase beans that are fair trade,Price,Brand name,$12 - $15,No,Female,25 - 34,Monthly
5/23/2017 18:02,Slightly important,Moderately important,"Yes, slightly important",Fair trade and direct trade have equal importance to me,Location of shop,Aesthetics,$18 - $22,No,Male,25 - 34,2-3 times a month
5/23/2017 18:20,Moderately important,Very important,"No, not at all important",I prefer to purchase beans that are fair trade,Location of shop,Aesthetics,$12 - $15,No,Female,25 - 34,2-3 times a month
5/23/2017 18:49,Not at all important,Slightly important,"Yes, moderately important",Fair trade and direct trade have equal importance to me,Price,Brand name,$12 - $15,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,2-3 times a month
5/23/2017 19:26,Not at all important,Very important,"No, not at all important",I prefer to purchase beans that are fair trade,Price,Aesthetics,< $12,No,Female,25 - 34,2-3 times a month
5/23/2017 20:25,Very important,Not at all important,"No, not at all important",Neither factor contributes to my decision,Brand name,Price,$15 - $18,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Female,25 - 34,Less than once a month
5/23/2017 20:40,Very important,Moderately important,"No, not at all important",Neither factor contributes to my decision,Brand name,Location of shop,$15 - $18,I prefer blends,Female,65 or older,Monthly
5/23/2017 20:51,Very important,Moderately important,"Yes, slightly important",I prefer to purchase beans that are direct trade,Location of shop,Aesthetics,$22 - $25,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,Monthly
5/23/2017 21:14,Moderately important,Very important,"Yes, moderately important",Neither factor contributes to my decision,Price,Trade specifications (fair trade / direct trade),< $12,No,Female,65 or older,2-3 times a month
5/23/2017 21:14,Not at all important,Very important,"No, not at all important",Neither factor contributes to my decision,Price,Brand name,$22 - $25,No,Male,25 - 34,Less than once a month
5/23/2017 21:47,Moderately important,Very important,"Yes, slightly important",I prefer to purchase beans that are direct trade,Price,Brand name,< $12,No,Non-binary,45 - 54,Less than once a month
5/23/2017 21:53,Not at all important,Very important,"Yes, moderately important",I prefer to purchase beans that are fair trade,Trade specifications (fair trade / direct trade),Aesthetics,$12 - $15,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,Monthly
5/23/2017 22:03,Moderately important,Slightly important,"Yes, slightly important",I prefer to purchase beans that are direct trade,Trade specifications (fair trade / direct trade),Aesthetics,> $25,No,Female,18 - 24,Weekly
5/23/2017 22:55,Very important,Very important,"Yes, moderately important",I prefer to purchase beans that are fair trade,Price,Brand name,$12 - $15,No,Female,25 - 34,Monthly
5/23/2017 23:31,Very important,Not at all important,"Yes, slightly important",I prefer to purchase beans that are fair trade,Trade specifications (fair trade / direct trade),Aesthetics,$22 - $25,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Male,35 - 44,Monthly
5/23/2017 23:47,Very important,Not at all important,"Yes, slightly important",I prefer to purchase beans that are fair trade,Trade specifications (fair trade / direct trade),Aesthetics,$22 - $25,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Male,35 - 44,Monthly
5/24/2017 4:02,Not at all important,Not at all important,"No, not at all important",I prefer to purchase beans that are direct trade,Location of shop,Brand name,$12 - $15,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Female,35 - 44,2-3 times a month
5/24/2017 5:39,Very important,Slightly important,"Yes, slightly important",Neither factor contributes to my decision,Brand name,Trade specifications (fair trade / direct trade),$18 - $22,No,Female,Under 18,Monthly
5/24/2017 6:23,Not at all important,Extremely important,"Yes, slightly important",Neither factor contributes to my decision,Aesthetics,Brand name,< $12,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,Monthly
5/24/2017 6:47,Moderately important,Slightly important,"Yes, very important",I prefer to purchase beans that are direct trade,Brand name,Location of shop,> $25,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,35 - 44,2-3 times a month
5/24/2017 8:03,Moderately important,Very important,"Yes, extremely important",Fair trade and direct trade have equal importance to me,Aesthetics,Location of shop,$18 - $22,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Female,18 - 24,Weekly
5/24/2017 8:08,Extremely important,Moderately important,"Yes, slightly important",I prefer to purchase beans that are direct trade,Location of shop,Aesthetics,$18 - $22,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Female,45 - 54,Weekly
5/24/2017 10:38,Slightly important,Very important,"No, not at all important",Neither factor contributes to my decision,Location of shop,Brand name,$18 - $22,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,Less than once a month
